run_id,runtime,yjit,scenario,scenario_family,benchmark_source,benchmark_source_url,server,server_capacity,adapter,workers,threads,requests,target_requests,duration_s,min_duration_s,target_warmup_requests,warmup_requests,warmup_duration_s,warmup_min_duration_s,concurrency,keep_alive,completed,errors,achieved_rps,p50_ms,p95_ms,p99_ms,p999_ms,max_ms,rss_mb_peak,rss_mb_end,cpu_pct_avg,target_sample_count,sample_count,raw_sample_count,gc_delta_scope,gc_count_delta,total_allocated_objects_delta
yjit-off/puma-response-array-1kb/raptor-3r/repeat-1,yjit-off,false,puma-response-array-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.133,5.0,1000,1000,16.102,2.0,5,true,1000,0,61.983,40.99,41.987,43.432,4030.328,4040.008,29.984,29.984,2.93,20,20,228,same_worker,15,717853
yjit-off/puma-response-chunk-1kb/raptor-3r/repeat-1,yjit-off,false,puma-response-chunk-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.121,5.0,1000,1000,16.099,2.0,5,true,1000,0,62.031,40.99,41.953,42.378,4032.189,4032.816,30.402,30.402,2.405,20,20,228,same_worker,14,717925
yjit-off/puma-response-string-1kb/raptor-3r/repeat-1,yjit-off,false,puma-response-string-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.132,5.0,1000,1000,16.097,2.0,5,true,1000,0,61.987,40.992,41.994,42.429,4033.488,4033.928,30.418,30.418,2.3,20,20,229,same_worker,15,718264
yjit-off/puma-response-io-1kb/raptor-3r/repeat-1,yjit-off,false,puma-response-io-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.128,5.0,1000,1000,16.099,2.0,5,true,1000,0,62.003,40.991,41.987,42.268,4033.531,4038.378,30.5,30.5,2.295,20,20,229,same_worker,15,727308
yjit-off/puma-response-array-10kb/raptor-3r/repeat-1,yjit-off,false,puma-response-array-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.124,5.0,1000,1000,16.085,2.0,5,true,1000,0,62.02,40.99,41.972,42.277,4030.916,4031.7,30.5,30.5,2.2,20,20,229,same_worker,14,719299
yjit-off/puma-response-chunk-10kb/raptor-3r/repeat-1,yjit-off,false,puma-response-chunk-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.114,5.0,1000,1000,16.086,2.0,5,true,1000,0,62.057,40.986,41.963,42.243,4028.745,4066.964,30.5,30.5,2.2,20,20,229,same_worker,14,716305
yjit-off/puma-response-string-10kb/raptor-3r/repeat-1,yjit-off,false,puma-response-string-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.121,5.0,1000,1000,16.086,2.0,5,true,1000,0,62.03,40.987,41.96,42.351,4029.978,4030.093,30.5,30.5,2.2,20,20,229,same_worker,14,718088
yjit-off/puma-response-io-10kb/raptor-3r/repeat-1,yjit-off,false,puma-response-io-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.161,5.0,1000,1000,16.085,2.0,5,true,1000,0,61.877,40.986,41.95,42.216,4033.595,4063.419,31.395,31.395,2.2,20,20,229,same_worker,14,746401
yjit-off/puma-response-array-100kb/raptor-3r/repeat-1,yjit-off,false,puma-response-array-100kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,14.911,5.0,1000,1000,14.646,2.0,5,true,1000,0,67.064,40.976,41.964,42.203,3946.266,3950.549,31.445,31.445,2.305,20,20,213,same_worker,14,719296
yjit-off/puma-response-chunk-100kb/raptor-3r/repeat-1,yjit-off,false,puma-response-chunk-100kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,15.595,5.0,1000,1000,14.791,2.0,5,true,1000,0,64.123,40.976,41.962,42.087,3869.749,3871.659,31.445,31.445,2.445,20,20,223,same_worker,14,714948
